Date,Price,Open,High,Low,Vol.,Change %
6/9/2023,8.62,8.61,8.65,8.59,3.18M,0.23%
6/8/2023,8.6,8.6,8.6,8.57,4.98M,0.23%
6/7/2023,8.58,8.6,8.6,8.56,5.69M,0.00%
6/6/2023,8.58,8.57,8.63,8.55,7.84M,0.00%
6/2/2023,8.58,8.6,8.62,8.55,7.85M,-0.23%
6/1/2023,8.6,8.6,8.65,8.59,8.70M,-0.58%
05/31/2023,8.65,8.61,8.65,8.58,59.73M,0.70%
05/30/2023,8.59,8.62,8.65,8.58,8.27M,-0.12%
05/29/2023,8.6,8.59,8.62,8.58,6.15M,0.23%
05/26/2023,8.58,8.57,8.61,8.56,5.32M,0.23%
05/25/2023,8.56,8.58,8.62,8.56,9.15M,0.00%
05/24/2023,8.56,8.6,8.6,8.55,8.13M,-0.58%
05/23/2023,8.61,8.6,8.69,8.55,8.26M,0.35%
05/22/2023,8.58,8.71,8.74,8.58,11.62M,-2.28%
05/19/2023,8.78,8.75,8.78,8.71,4.84M,0.23%
05/18/2023,8.76,8.73,8.76,8.7,3.69M,0.57%
05/17/2023,8.71,8.7,8.75,8.69,4.05M,-0.23%
05/16/2023,8.73,8.69,8.75,8.69,3.24M,0.46%
05/15/2023,8.69,8.69,8.74,8.65,3.84M,0.00%
5/12/2023,8.69,8.74,8.78,8.66,8.07M,-0.57%
5/11/2023,8.74,8.7,8.75,8.7,9.12M,0.46%
5/10/2023,8.7,8.75,8.75,8.69,3.55M,-0.57%
5/9/2023,8.75,8.73,8.75,8.72,4.39M,-0.11%
5/8/2023,8.76,8.74,8.76,8.7,2.84M,0.11%
5/5/2023,8.75,8.72,8.75,8.69,8.27M,0.34%
5/3/2023,8.72,8.69,8.73,8.63,6.17M,0.46%
5/2/2023,8.68,8.66,8.7,8.65,3.61M,0.23%
04/28/2023,8.66,8.7,8.7,8.62,8.18M,-0.46%
04/27/2023,8.7,8.65,8.7,8.62,8.02M,1.05%
04/26/2023,8.61,8.65,8.65,8.55,6.90M,-0.46%
04/25/2023,8.65,8.71,8.71,8.62,4.37M,-0.57%
04/20/2023,8.7,8.7,8.7,8.66,1.97M,0.12%
04/19/2023,8.69,8.72,8.72,8.68,7.34M,-0.11%
04/18/2023,8.7,8.71,8.71,8.65,4.31M,0.00%
04/17/2023,8.7,8.71,8.72,8.67,5.44M,-0.11%
04/14/2023,8.71,8.71,8.73,8.69,5.18M,0.00%
04/13/2023,8.71,8.7,8.72,8.68,9.68M,0.11%
4/12/2023,8.7,8.73,8.73,8.66,6.23M,-0.34%
4/11/2023,8.73,8.66,8.73,8.65,6.30M,0.92%
4/10/2023,8.65,8.66,8.7,8.64,4.62M,-0.12%
4/7/2023,8.66,8.65,8.67,8.63,1.68M,0.12%
4/6/2023,8.65,8.65,8.66,8.59,6.29M,-0.12%
4/5/2023,8.66,8.66,8.66,8.62,3.80M,0.00%
4/4/2023,8.66,8.67,8.67,8.61,4.20M,-0.12%
4/3/2023,8.67,8.57,8.67,8.57,3.42M,1.17%
03/31/2023,8.57,8.63,8.64,8.56,5.98M,-0.70%
03/30/2023,8.63,8.57,8.63,8.54,4.79M,0.82%
03/29/2023,8.56,8.5,8.57,8.49,6.33M,0.59%
03/28/2023,8.51,8.46,8.51,8.44,3.96M,0.83%
03/27/2023,8.44,8.44,8.46,8.43,4.02M,0.12%
03/24/2023,8.43,8.5,8.5,8.43,3.95M,-0.71%
03/23/2023,8.49,8.51,8.53,8.45,4.24M,-0.70%
03/22/2023,8.55,8.4,8.55,8.4,5.99M,1.79%
03/21/2023,8.4,8.38,8.42,8.37,3.11M,0.72%
03/20/2023,8.34,8.39,8.4,8.33,4.90M,-0.48%
03/17/2023,8.38,8.29,8.43,8.29,14.84M,1.45%
03/16/2023,8.26,8.35,8.35,8.26,10.81M,-1.08%
03/15/2023,8.35,8.39,8.42,8.35,8.24M,0.12%
03/14/2023,8.34,8.44,8.45,8.34,12.18M,-1.18%
03/13/2023,8.44,8.45,8.48,8.36,11.28M,-2.99%
3/10/2023,8.7,8.71,8.75,8.7,7.52M,-0.11%
3/9/2023,8.71,8.69,8.72,8.69,12.48M,0.46%
3/8/2023,8.67,8.7,8.71,8.67,10.31M,-0.12%
3/7/2023,8.68,8.72,8.74,8.68,7.44M,-0.12%
3/6/2023,8.69,8.76,8.79,8.66,10.92M,-0.23%
3/3/2023,8.71,8.78,8.78,8.71,7.50M,-0.46%
3/2/2023,8.75,8.78,8.8,8.74,6.90M,-0.34%
3/1/2023,8.78,8.8,8.81,8.74,11.21M,-0.23%
02/28/2023,8.8,8.75,8.82,8.74,14.54M,0.57%
02/27/2023,8.75,8.75,8.78,8.7,9.39M,0.11%
02/24/2023,8.74,8.71,8.76,8.69,5.19M,0.58%
02/23/2023,8.69,8.68,8.72,8.66,5.10M,0.35%
02/22/2023,8.66,8.7,8.74,8.63,6.86M,-0.46%
02/21/2023,8.7,8.75,8.76,8.7,3.13M,-0.46%
02/20/2023,8.74,8.75,8.77,8.71,1.77M,-0.11%
02/17/2023,8.75,8.77,8.78,8.73,4.14M,-0.23%
02/16/2023,8.77,8.8,8.8,8.76,11.11M,-0.34%
02/15/2023,8.8,8.8,8.82,8.72,6.30M,0.00%
02/14/2023,8.8,8.75,8.82,8.75,10.81M,0.34%
02/13/2023,8.77,8.76,8.79,8.73,10.98M,0.23%
2/10/2023,8.75,8.63,8.76,8.63,3.72M,1.51%
